专题,线索来源媒体,日期,标题,优先级P,命中规则,年份
T1_指南政策,肝胆相照平台,2024-03-24,“从0到1”的突破——儿童慢性乙型肝炎防治专家共识重磅发布！,0,专家共识,2024
T1_指南政策,肝胆相照平台,2024-05-29,「转」儿童慢性乙型肝炎防治专家共识,0,专家共识,2024
T1_指南政策,雨露肝霖,2024-05-29,「转」全文首发 ｜ 儿童慢性乙型肝炎防治专家共识,0,专家共识,2024
T1_指南政策,肝胆相照平台,2024-03-24,「转」抢先看 ｜ 《儿童慢性乙型肝炎防治专家共识》18条推荐意见,0,专家共识,2024
T1_指南政策,肝博士,2024-08-26,「转」最新《中国乙型肝炎病毒母婴传播防治指南（2024年版）》发布，聚焦十大热点临床问题！,0,防治指南.*(版|年版),2024
T1_指南政策,肝胆相照平台,2024-07-24,「转」病毒性肝炎 ｜ 贾继东尤红：世界卫生组织2024年版乙型肝炎防治指南与中国指南抗病毒治疗覆盖人群的比较,0,WHO|世界卫生组织,2024
T1_指南政策,雨露肝霖,2024-03-24,「转」重磅发布 ｜ 《儿童慢性乙型肝炎防治专家共识》18条推荐意见抢先看,0,专家共识,2024
T1_指南政策,雨露肝霖,2024-01-04,【会议撷萃】庄辉院士：《慢性乙型肝炎防治指南（2022年版）》修订要点商榷,0,防治指南.*(版|年版),2024
T1_指南政策,雨露肝霖,2024-08-22,中国乙型肝炎病毒母婴传播防治指南（2024年版）,0,防治指南.*(版|年版),2024
T1_指南政策,肝博士,2024-05-31,儿童宝宝们快快好起来~《儿童慢性乙型肝炎防治专家共识》推荐意见18条注意看,0,专家共识,2024
T1_指南政策,中华肝脏病杂志,2024-05-28,全文首发 ｜ 儿童慢性乙型肝炎防治专家共识,0,专家共识,2024
T1_指南政策,中华肝脏病杂志,2024-07-18,学术争鸣 ｜ 耿嘉蔚：《慢性乙型肝炎防治指南(2022年版)》要求HBeAg阴性慢性HBV感染者HBV DNA阴性是否合适？,0,防治指南.*(版|年版),2024
T1_指南政策,中华肝脏病杂志,2024-02-21,学术争鸣 ｜ 陈立张欣欣：《慢性乙型肝炎防治指南（2022版）》乙型肝炎病毒感染自然史分期及其内涵的再探讨,0,防治指南.*(版|年版),2024
T1_指南政策,肝胆相照平台,2024-01-02,庄辉院士：《慢性乙型肝炎防治指南(2022年版)》修订要点商榷,0,防治指南.*(版|年版),2024
T1_指南政策,中华肝脏病杂志,2024-08-28,指南与共识 ｜ 中国乙型肝炎病毒母婴传播防治指南（2024年版）,0,防治指南.*(版|年版),2024
T1_指南政策,中华肝脏病杂志,2024-03-20,指南与共识 ｜ 慢性乙型肝炎肝纤维化MRI诊断专家共识（2023年版）,0,专家共识,2024
T1_指南政策,中华肝脏病杂志,2024-08-30,指南与共识 ｜ 成人乙型肝炎疫苗接种专家建议,0,专家建议,2024
T1_指南政策,中华肝脏病杂志,2024-09-02,指南与共识 ｜ 成人乙型肝炎病毒感染筛查、检测及管理专家建议,0,专家建议,2024
T1_指南政策,肝胆相照平台,2024-02-23,最新发布 ｜《乙型病毒性肝炎全人群管理专家共识》2023版,0,专家共识,2024
T1_指南政策,临床肝胆病杂志,2024-08-26,权威发布｜中国乙型肝炎病毒母婴传播防治指南（2024年版）,0,防治指南.*(版|年版),2024
T1_指南政策,肝胆相照平台,2024-08-28,消除肝炎，积极行动 ｜ 病毒性肝炎防治指南实践工程SunShine 项目南部区域指导会顺利召开！,0,消除(病毒性)?肝炎,2024
T1_指南政策,中华肝脏病杂志,2024-07-19,病毒性肝炎 ｜ 贾继东尤红：世界卫生组织2024年版乙型肝炎防治指南与中国指南抗病毒治疗覆盖人群的比较,0,WHO|世界卫生组织,2024
T1_指南政策,中华肝脏病杂志,2024-07-23,远程教育 ｜ 2024 年国家级远程继续医学教育项目《慢性乙型肝炎防治指南(2022版)》解读,0,防治指南.*(版|年版),2024
T1_指南政策,中华肝脏病杂志,2024-03-23,重磅发布 ｜ 《儿童慢性乙型肝炎防治专家共识》18条推荐意见抢先看,0,专家共识,2024
T1_指南政策,肝胆相照平台,2023-01-06,《慢性乙型肝炎防治指南(2022年版)》33条推荐意见抢先知！,0,防治指南.*(版|年版),2023
T1_指南政策,中华肝脏病杂志,2023-08-30,「转」JCTH ｜ 慢性乙型肝炎防治指南（2022年更新版）英文版正式发表,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-07-06,「转」《慢性乙型肝炎防治指南（2022年版）》更新要点解读,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-02-25,「转」慢性乙型肝炎防治指南（2022年版）,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-12-01,「转」指南与共识 ｜ 慢性乙型肝炎肝纤维化MRI诊断专家共识（2023年版）,0,专家共识,2023
T1_指南政策,肝胆相照平台,2023-07-24,「转」指南解读｜《慢性乙型肝炎防治指南(2022年版)》解读,0,防治指南.*(版|年版),2023
T1_指南政策,雨露肝霖,2023-02-25,「转」正式发布 ｜ 慢性乙型肝炎防治指南（2022年版）,0,防治指南.*(版|年版),2023
