专题,线索来源媒体,日期,标题,优先级P,命中规则,年份
T1_指南政策,临床肝胆病杂志,2025-03-21,专家论坛｜张毓辉：海南省消除病毒性肝炎公共卫生危害工作实践,0,消除(病毒性)?肝炎,2025
T1_指南政策,肝胆相照平台,2025-04-15,多维攻坚破局，聚焦国际前沿 ｜ 消除病毒性肝炎势在必得,0,消除(病毒性)?肝炎,2025
T1_指南政策,临床肝胆病杂志,2025-03-13,述评｜王宇：建立公共卫生管理模式，促进消除病毒性肝炎危害,0,消除(病毒性)?肝炎,2025
T1_指南政策,肝胆相照平台,2024-03-24,“从0到1”的突破——儿童慢性乙型肝炎防治专家共识重磅发布！,0,专家共识,2024
T1_指南政策,肝胆相照平台,2024-05-29,「转」儿童慢性乙型肝炎防治专家共识,0,专家共识,2024
T1_指南政策,雨露肝霖,2024-05-29,「转」全文首发 ｜ 儿童慢性乙型肝炎防治专家共识,0,专家共识,2024
T1_指南政策,肝胆相照平台,2024-03-24,「转」抢先看 ｜ 《儿童慢性乙型肝炎防治专家共识》18条推荐意见,0,专家共识,2024
T1_指南政策,肝博士,2024-08-26,「转」最新《中国乙型肝炎病毒母婴传播防治指南（2024年版）》发布，聚焦十大热点临床问题！,0,防治指南.*(版|年版),2024
T1_指南政策,肝胆相照平台,2024-07-24,「转」病毒性肝炎 ｜ 贾继东尤红：世界卫生组织2024年版乙型肝炎防治指南与中国指南抗病毒治疗覆盖人群的比较,0,WHO|世界卫生组织,2024
T1_指南政策,雨露肝霖,2024-03-24,「转」重磅发布 ｜ 《儿童慢性乙型肝炎防治专家共识》18条推荐意见抢先看,0,专家共识,2024
T1_指南政策,雨露肝霖,2024-01-04,【会议撷萃】庄辉院士：《慢性乙型肝炎防治指南（2022年版）》修订要点商榷,0,防治指南.*(版|年版),2024
T1_指南政策,肝癌在线,2024-07-18,【健康红包来袭】世界肝炎日——消除肝炎，积极行动！附资料下载，助力健康知识普及,0,消除(病毒性)?肝炎,2024
T1_指南政策,雨露肝霖,2024-08-22,中国乙型肝炎病毒母婴传播防治指南（2024年版）,0,防治指南.*(版|年版),2024
T1_指南政策,肝胆相照平台,2024-04-16,健康中国 ｜ 中国首个消除病毒性肝炎倡议发布：大湾区率先发起行动,0,消除(病毒性)?肝炎,2024
