专题,实体名,出现次数,最高优先级,年份,来源媒体,代表候选标题,溯源状态,PMID,DOI,期刊年卷期,官方链接,剔除原因/备注
T1_指南政策,海南省消除病毒性肝炎实践,1,0,2025,临床肝胆病杂志,专家论坛｜张毓辉：海南省消除病毒性肝炎公共卫生危害工作实践,已锁定,,10.12449/JCH250206,"临床肝胆病杂志 2025,41(2):228-233",https://doi.org/10.12449/JCH250206,
T1_指南政策,消除病毒性肝炎势在必得,1,0,2025,肝胆相照平台,多维攻坚破局，聚焦国际前沿 ｜ 消除病毒性肝炎势在必得,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2025），不构成正式文献
T1_指南政策,建立公共卫生管理模式促进消除肝炎危害(王宇述评),1,0,2025,临床肝胆病杂志,述评｜王宇：建立公共卫生管理模式，促进消除病毒性肝炎危害,已锁定,,10.12449/JCH250201,"临床肝胆病杂志 2025,41(2)",https://doi.org/10.12449/JCH250201,
T1_指南政策,儿童慢性乙型肝炎防治专家共识(2024),8,0,2024,"中华肝脏病杂志,肝博士,肝胆相照平台,雨露肝霖",“从0到1”的突破——儿童慢性乙型肝炎防治专家共识重磅发布！,已锁定,,10.3760/cma.j.cn501113-20240415-00206,"中华肝脏病杂志 2024,32(5):435-448",https://doi.org/10.3760/cma.j.cn501113-20240415-00206,
T1_指南政策,乙型肝炎病毒母婴传播防治指南(2024年版),4,0,2024,"中华肝脏病杂志,临床肝胆病杂志,肝博士,雨露肝霖",「转」最新《中国乙型肝炎病毒母婴传播防治指南（2024年版）》发布，聚焦十大热点临床问题！,已锁定,,10.12449/JCH240809,"临床肝胆病杂志 2024,40(8):1557-1566",https://doi.org/10.12449/JCH240809,
T1_指南政策,WHO 2024年版乙型肝炎防治指南(中国比较解读),2,0,2024,"中华肝脏病杂志,肝胆相照平台",「转」病毒性肝炎 ｜ 贾继东尤红：世界卫生组织2024年版乙型肝炎防治指南与中国指南抗病毒治疗覆盖人群的比较,已锁定,,10.3760/cma.j.cn501113-20240421-00218,"中华肝脏病杂志 2024,32(6):525-531",https://doi.org/10.3760/cma.j.cn501113-20240421-00218,
T1_指南政策,慢性乙型肝炎防治指南(2022年版),24,0,2024、2023,"中华肝脏病杂志,临床肝胆病杂志,肝胆相照平台,雨露肝霖",【会议撷萃】庄辉院士：《慢性乙型肝炎防治指南（2022年版）》修订要点商榷,已锁定,,10.3760/cma.j.cn311365-20230220-00050,"中华传染病杂志 2023,41(1):3-28",https://doi.org/10.3760/cma.j.cn311365-20230220-00050,
T1_指南政策,世界肝炎日行动(2024),3,0,2024,"肝博士,肝癌在线,肝胆相照平台",【健康红包来袭】世界肝炎日——消除肝炎，积极行动！附资料下载，助力健康知识普及,已剔除,,,,,非期刊来源：世界肝炎日主题活动报道（肝博士/肝癌在线/肝胆相照平台2024）
T1_指南政策,大湾区消除病毒性肝炎倡议,1,0,2024,肝胆相照平台,健康中国 ｜ 中国首个消除病毒性肝炎倡议发布：大湾区率先发起行动,已剔除,,,,,会议倡议（2024-04-12大湾区肝病国际论坛发布，孙剑宣读、侯金林大会主席），非期刊来源；如需背景可作T7联盟建设的事件条目保留
T1_指南政策,全国209家医院乙肝临床治愈门诊建设,1,0,2024,中华肝脏病杂志,全国209家医院规范化建设乙肝临床治愈门诊，助力消除病毒性肝炎公共危害,已锁定,,,政策项目：国家卫健委医院管理研究所'乙肝临床治愈门诊规范化建设与能力提升项目'（2023-11启动；2024年首批规范单位35家+培育单位174家，覆盖28省区）,https://www.ce.cn/xwzx/gnsz/gdxw/202407/30/t20240730_39087645.shtml,
T1_指南政策,慢性乙型肝炎肝纤维化MRI诊断专家共识(2023年版),2,0,2024、2023,"中华肝脏病杂志,肝胆相照平台",指南与共识 ｜ 慢性乙型肝炎肝纤维化MRI诊断专家共识（2023年版）,已锁定,,10.3760/cma.j.cn501113-20230223-00075,"中华肝脏病杂志 2023,31(10):1009-1017",https://doi.org/10.3760/cma.j.cn501113-20230223-00075,
T1_指南政策,成人乙型肝炎疫苗接种专家建议(2024),1,0,2024,中华肝脏病杂志,指南与共识 ｜ 成人乙型肝炎疫苗接种专家建议,已锁定,,10.12449/JCH240808,"临床肝胆病杂志 2024,40(8):1551-1556",https://doi.org/10.12449/JCH240808,
T1_指南政策,成人乙型肝炎病毒感染筛查检测及管理专家建议(2024),1,0,2024,中华肝脏病杂志,指南与共识 ｜ 成人乙型肝炎病毒感染筛查、检测及管理专家建议,已锁定,,10.12449/JCH240807,"临床肝胆病杂志 2024,40(8):1543-1550",https://doi.org/10.12449/JCH240807,
T1_指南政策,大湾区肝病国际论坛暨消除病毒性肝炎大会,3,0,2024、2023,肝胆相照平台,明日焦点 ｜ 2024大湾区肝病国际论坛暨消除病毒性肝炎大会,已剔除,,,,,非期刊来源：学术会议报道（肝胆相照平台2024、2023），同大湾区消除病毒性肝炎倡议一并处理
T1_指南政策,乙型病毒性肝炎全人群管理专家共识(2023),1,0,2024,肝胆相照平台,最新发布 ｜《乙型病毒性肝炎全人群管理专家共识》2023版,已锁定,,10.3760/cma.j.issn.1674-2397.2024.01.001,"中华临床感染病杂志 2024,17(1):1-13",https://doi.org/10.3760/cma.j.issn.1674-2397.2024.01.001,
T1_指南政策,主动筛查精准检测消除肝炎行动,2,0,2023、2022,肝胆相照平台,​主动筛查，精准检测，消除病毒性肝炎危害，中国在行动,已剔除,,,,,非期刊来源：主题公益活动报道（肝胆相照平台2023、2022）
T1_指南政策,【全球听说】高分综述：全球乙肝病毒负担现状及消除病毒性肝炎的措施,1,0,2023,雨露肝霖,【全球听说】高分综述：全球乙肝病毒负担现状及消除病毒性肝炎的措施,已锁定,37024566,10.1038/s41575-023-00760-9,"Nat Rev Gastroenterol Hepatol 2023,20(8):524-537",https://pubmed.ncbi.nlm.nih.gov/37024566/,
T1_指南政策,戊型病毒性肝炎院内筛查管理流程专家共识(2023年版),1,0,2023,肝胆相照平台,中国戊型病毒性肝炎院内筛查管理流程专家共识（2023年版）,已锁定,,10.3969/j.issn.1001-5256.2023.04.008,"临床肝胆病杂志 2023,39(4):785-794",https://doi.org/10.3969/j.issn.1001-5256.2023.04.008,
